CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	272	0.00	272
2	0	851	0.00	851
3	0	207	0.00	207
4	0	626	0.00	626
5	0	2050	0.00	2050
6	0	450	0.00	450
7	0	749	0.00	749
8	0	363	0.00	363
9	0	1737	0.00	1737
10	0	1074	0.00	1074
11	0	33	0.00	33
12	1	843	0.12	844
13	2	154	1.28	156
14	0	607	0.00	607
15	0	528	0.00	528
16	1	1394	0.07	1395
17	0	46	0.00	46
18	0	1409	0.00	1409
19	2	46	4.17	48
20	2	629	0.32	631
21	30	2183	1.36	2213
22	2	102	1.92	104
23	3	657	0.45	660
24	10	888	1.11	898
25	10	946	1.05	956
26	4	865	0.46	869
27	7	1926	0.36	1933
28	5	778	0.64	783
29	4	117	3.31	121
30	28	1148	2.38	1176
31	13	957	1.34	970
32	0	111	0.00	111
33	18	1423	1.25	1441
34	17	770	2.16	787
35	8	860	0.92	868
36	12	576	2.04	588
37	21	794	2.58	815
38	33	1524	2.12	1557
39	7	773	0.90	780
40	8	100	7.41	108
41	37	1265	2.84	1302
42	11	1012	1.08	1023
43	8	302	2.58	310
44	3	133	2.21	136
45	13	1063	1.21	1076
46	46	1376	3.23	1422
47	40	895	4.28	935
48	24	910	2.57	934
49	29	2153	1.33	2182
50	16	1422	1.11	1438
51	12	205	5.53	217
52	2	166	1.19	168
53	7	707	0.98	714
54	28	1321	2.08	1349
55	11	301	3.53	312
56	16	951	1.65	967
57	11	483	2.23	494
58	3	72	4.00	75
59	7	218	3.11	225
60	49	1639	2.90	1688
61	16	2231	0.71	2247
62	16	388	3.96	404
